age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
47,blue-collar,married,secondary,no,2710,yes,no,telephone,26,jun,44,1,-1,0,unknown,no
39,blue-collar,married,primary,no,2861,yes,no,cellular,12,aug,421,1,-1,0,unknown,yes
47,technician,married,secondary,no,-1263,no,no,cellular,30,may,327,6,-1,0,unknown,no
40,management,married,unknown,no,246,yes,no,cellular,23,may,7,1,-1,1,unknown,yes
40,technician,married,unknown,no,2976,no,no,cellular,30,jul,7,1,701,0,failure,no
52,self-employed,divorced,secondary,no,-2556,yes,yes,cellular,17,nov,218,7,-1,0,unknown,yes
39,management,single,tertiary,no,3706,no,no,cellular,7,jul,264,7,-1,0,unknown,no
30,blue-collar,single,tertiary,no,-1584,no,no,cellular,5,may,207,6,156,1,unknown,yes
27,blue-collar,single,secondary,no,-1573,no,no,telephone,13,oct,376,7,-1,0,failure,yes
40,admin.,married,secondary,no,906,yes,no,cellular,31,apr,10,2,208,0,unknown,no
30,student,married,tertiary,no,4359,no,yes,unknown,27,may,115,14,-1,0,unknown,no
47,technician,single,primary,no,5062,yes,no,cellular,18,aug,33,4,-1,0,unknown,no
42,management,married,tertiary,no,1907,no,yes,cellular,20,jul,218,3,514,0,unknown,yes
36,blue-collar,married,secondary,no,47,no,no,unknown,14,jul,215,4,-1,0,unknown,no
33,technician,single,primary,no,6756,no,no,cellular,12,oct,107,2,-1,0,unknown,yes
39,blue-collar,single,secondary,yes,-554,yes,no,unknown,12,dec,244,5,32,0,unknown,yes
45,technician,married,primary,no,4859,no,no,cellular,21,may,118,5,-1,0,unknown,yes
48,technician,single,secondary,no,5641,no,no,cellular,25,may,301,7,-1,0,unknown,yes
28,blue-collar,married,secondary,no,4257,yes,no,cellular,16,jul,69,2,-1,1,other,no
59,technician,married,secondary,no,5175,yes,no,cellular,26,sep,92,3,-1,0,unknown,no
33,blue-collar,single,primary,no,164,yes,yes,cellular,3,aug,457,1,-1,0,unknown,yes
28,admin.,married,tertiary,no,-1212,no,no,cellular,2,oct,49,1,-1,0,unknown,yes
55,unemployed,single,tertiary,no,-3581,yes,yes,unknown,3,jul,708,1,765,1,other,yes
52,blue-collar,married,secondary,no,5608,yes,no,cellular,17,nov,11,9,-1,0,unknown,no
49,technician,married,secondary,no,8892,yes,no,unknown,4,may,117,3,-1,0,other,no
33,services,married,primary,no,1903,yes,no,telephone,25,jul,182,1,-1,0,unknown,no
50,technician,single,primary,no,4161,yes,no,unknown,18,may,986,2,-1,0,failure,yes
38,services,single,secondary,no,-1412,no,no,unknown,31,jul,598,2,828,0,unknown,yes
26,management,married,tertiary,no,2276,no,yes,cellular,11,nov,250,1,-1,0,unknown,yes
33,blue-collar,married,primary,no,2041,yes,yes,cellular,5,may,677,5,-1,0,unknown,yes
27,blue-collar,single,primary,no,7061,yes,no,cellular,11,may,662,1,-1,1,unknown,yes
49,technician,married,tertiary,no,632,yes,no,cellular,4,aug,28,4,-1,0,unknown,no
51,technician,married,tertiary,no,776,yes,no,cellular,8,jul,143,2,643,0,unknown,yes
29,admin.,single,primary,no,-796,no,no,unknown,28,sep,169,6,714,0,unknown,no
38,management,married,unknown,no,1253,yes,no,cellular,4,may,91,3,-1,0,unknown,no
43,blue-collar,single,tertiary,no,5610,yes,no,cellular,6,jul,171,3,773,0,other,yes
28,technician,married,primary,no,1160,yes,no,telephone,18,apr,885,2,-1,0,unknown,yes
49,services,married,tertiary,no,2414,yes,no,unknown,27,may,854,7,-1,0,unknown,yes
29,technician,divorced,secondary,no,-686,yes,no,cellular,22,may,812,1,860,2,unknown,yes
26,admin.,married,tertiary,no,-1175,no,no,cellular,16,may,297,1,-1,0,unknown,yes
31,self-employed,married,primary,no,496,no,no,cellular,26,aug,189,3,-1,1,unknown,yes
36,retired,married,tertiary,no,5217,no,no,cellular,2,oct,252,1,-1,0,unknown,yes
31,blue-collar,married,primary,no,1944,no,no,cellular,20,jan,21,2,805,0,other,yes
52,admin.,single,secondary,no,625,yes,no,unknown,28,jun,530,4,-1,0,unknown,yes
40,admin.,married,tertiary,no,-202,yes,no,cellular,13,may,276,1,-1,0,unknown,yes
25,technician,married,secondary,no,3828,yes,no,telephone,6,jul,111,2,-1,0,unknown,yes
43,technician,married,secondary,no,3302,no,no,cellular,13,nov,1119,5,-1,0,unknown,yes
25,management,married,secondary,no,2435,no,no,cellular,24,jul,170,6,-1,0,unknown,yes
55,entrepreneur,married,secondary,no,2868,no,yes,cellular,3,may,526,1,-1,0,unknown,yes
27,blue-collar,married,primary,no,3081,yes,no,unknown,15,may,331,4,-1,0,unknown,yes
35,entrepreneur,married,secondary,no,1217,no,no,unknown,16,may,308,2,-1,0,unknown,yes
41,technician,married,primary,no,2511,yes,no,unknown,7,aug,259,1,-1,0,success,yes
32,technician,married,secondary,no,5322,no,yes,telephone,18,jul,209,2,-1,0,unknown,no
30,admin.,married,tertiary,no,672,no,no,cellular,23,nov,757,1,-1,0,unknown,yes
42,unemployed,single,secondary,no,-321,yes,no,cellular,5,jul,418,1,-1,0,success,yes
24,self-employed,married,secondary,no,3715,no,no,cellular,23,feb,1046,3,-1,0,unknown,yes
50,technician,married,secondary,no,145,yes,no,unknown,5,may,336,4,-1,1,unknown,yes
27,services,married,secondary,no,-112,no,no,unknown,22,aug,101,2,603,0,success,no
27,blue-collar,married,secondary,no,649,yes,no,unknown,26,may,327,2,-1,0,other,yes
38,retired,married,secondary,no,-7115,no,yes,cellular,28,jul,570,5,-1,0,unknown,yes
18,self-employed,married,tertiary,no,3621,yes,no,cellular,19,may,272,1,-1,1,failure,yes
39,entrepreneur,single,secondary,no,4338,yes,yes,cellular,10,aug,230,1,-1,0,unknown,yes
32,self-employed,married,secondary,no,-176,no,no,cellular,15,jul,494,3,715,1,unknown,yes
43,retired,married,tertiary,no,156,no,no,cellular,20,aug,228,3,-1,0,unknown,yes
38,services,divorced,secondary,no,-840,no,no,cellular,24,oct,603,1,-1,0,unknown,yes
48,services,single,tertiary,no,-181,yes,no,cellular,26,oct,794,4,-1,0,unknown,yes
31,self-employed,single,secondary,no,-74,no,no,cellular,3,may,57,4,247,0,unknown,yes
47,blue-collar,married,tertiary,no,2280,no,yes,unknown,11,dec,366,1,-1,0,unknown,yes
39,unemployed,married,secondary,no,4839,yes,no,cellular,30,jul,378,1,-1,2,unknown,yes
34,technician,single,tertiary,no,-1378,yes,no,cellular,14,jul,133,1,-1,0,failure,no
42,blue-collar,married,primary,no,874,yes,yes,cellular,5,may,228,2,-1,0,unknown,yes
32,management,single,secondary,no,1176,no,no,cellular,9,oct,34,1,-1,0,unknown,no
34,self-employed,married,tertiary,no,-147,no,yes,cellular,5,aug,20,3,11,0,unknown,yes
34,self-employed,single,secondary,no,-899,yes,yes,cellular,18,aug,75,2,-1,0,unknown,no
41,retired,married,secondary,no,3000,no,no,telephone,26,jul,177,2,-1,0,unknown,no
38,blue-collar,married,secondary,no,-644,yes,no,cellular,27,dec,288,4,78,0,unknown,yes
18,technician,single,primary,no,1431,yes,no,cellular,19,nov,3,10,-1,0,unknown,no
54,services,single,primary,no,4419,yes,no,cellular,11,aug,522,1,-1,0,unknown,yes
57,blue-collar,married,primary,no,-3931,no,no,cellular,28,aug,142,2,-1,0,unknown,no
33,services,divorced,primary,no,2787,yes,no,cellular,4,jul,210,1,-1,0,failure,yes
48,services,divorced,tertiary,no,-4900,yes,yes,unknown,14,may,361,4,-1,0,unknown,yes
45,blue-collar,married,tertiary,no,4035,no,no,cellular,27,may,308,1,-1,0,unknown,yes
35,self-employed,married,tertiary,no,6538,yes,yes,cellular,26,may,368,5,-1,0,unknown,yes
37,admin.,single,tertiary,yes,-851,yes,no,cellular,2,feb,57,2,-1,0,unknown,no
50,technician,married,secondary,no,2770,no,yes,cellular,6,dec,185,5,-1,0,unknown,no
23,admin.,single,secondary,no,-2773,yes,no,telephone,17,jul,48,2,-1,0,other,no
48,management,single,secondary,no,-4583,no,no,cellular,31,may,188,1,-1,0,unknown,no
52,retired,married,tertiary,no,1569,yes,yes,cellular,12,jul,482,1,-1,0,unknown,yes
33,entrepreneur,single,primary,yes,4193,no,no,cellular,13,nov,82,9,-1,0,unknown,yes
54,management,divorced,primary,no,-3728,yes,no,cellular,6,aug,16,3,-1,0,unknown,no
47,technician,married,secondary,no,8131,yes,yes,cellular,14,sep,62,1,-1,0,unknown,no
50,unknown,single,secondary,no,2502,yes,no,cellular,15,aug,108,1,-1,5,unknown,yes
39,management,married,secondary,no,792,no,no,telephone,14,may,2173,2,-1,0,unknown,yes
29,management,married,tertiary,no,272,yes,no,cellular,5,apr,121,4,-1,0,unknown,no
36,services,married,secondary,no,2409,no,no,cellular,8,oct,238,3,589,1,unknown,no
18,blue-collar,single,secondary,no,-1238,yes,yes,cellular,16,jul,59,3,-1,0,failure,no
31,technician,married,secondary,no,3319,yes,no,cellular,28,sep,893,3,-1,0,unknown,yes
46,student,married,secondary,no,-2955,no,no,cellular,20,nov,605,5,-1,0,unknown,yes
31,admin.,married,tertiary,no,-1206,yes,no,unknown,28,may,432,3,-1,0,unknown,yes
43,management,single,secondary,no,-920,yes,no,cellular,24,oct,20,1,-1,1,unknown,yes
60,blue-collar,single,tertiary,no,2725,yes,yes,cellular,26,may,19,1,-1,0,unknown,no
34,management,single,primary,no,3669,no,no,cellular,16,may,106,3,-1,1,other,yes
43,admin.,married,secondary,no,3681,no,yes,cellular,20,may,297,3,-1,0,unknown,yes
24,technician,single,secondary,no,-3656,yes,no,cellular,18,may,113,4,-1,0,other,yes
49,blue-collar,married,secondary,no,3347,yes,no,cellular,31,may,69,3,604,2,unknown,no
49,student,married,secondary,no,-6474,yes,no,telephone,20,jul,877,4,-1,0,failure,yes
33,technician,married,secondary,no,-6376,yes,yes,unknown,12,jul,74,2,-1,0,unknown,no
30,management,single,secondary,no,2606,no,no,cellular,4,jul,110,11,-1,0,failure,no
35,blue-collar,married,primary,no,7035,yes,no,unknown,2,may,180,7,-1,0,unknown,yes
27,admin.,married,primary,no,3086,yes,no,telephone,29,jun,34,1,-1,0,failure,no
45,blue-collar,married,tertiary,no,4651,no,no,cellular,13,aug,180,3,742,0,unknown,yes
50,blue-collar,married,secondary,no,6064,no,no,cellular,18,jul,241,2,-1,0,unknown,no
41,blue-collar,single,tertiary,no,7951,yes,no,cellular,2,sep,459,5,-1,0,unknown,yes
21,technician,married,unknown,no,1669,yes,yes,unknown,26,feb,11,3,-1,0,unknown,no
55,blue-collar,single,secondary,no,-1758,yes,no,cellular,12,jun,195,3,-1,0,unknown,yes
44,technician,single,secondary,no,-1273,yes,no,telephone,25,jul,241,3,-1,0,unknown,yes
42,technician,married,secondary,no,5864,no,no,telephone,30,nov,61,1,64,0,unknown,no
23,retired,single,secondary,no,-2801,yes,no,telephone,14,jul,2,1,-1,0,unknown,no
38,unemployed,married,tertiary,no,6282,no,no,cellular,23,nov,668,1,819,0,unknown,yes
40,management,married,tertiary,no,2131,no,yes,cellular,3,may,73,1,-1,0,unknown,no
41,entrepreneur,single,tertiary,no,4579,yes,no,unknown,16,oct,207,6,-1,0,unknown,yes
45,services,married,tertiary,no,-1794,yes,yes,cellular,16,may,13,3,-1,0,unknown,no
31,entrepreneur,single,secondary,yes,4665,yes,no,cellular,22,jul,13,2,-1,0,unknown,no
35,blue-collar,married,primary,no,4405,yes,no,unknown,6,jun,408,3,-1,0,unknown,yes
32,technician,married,tertiary,no,4016,no,no,cellular,12,jul,98,5,-1,0,other,no
37,admin.,married,secondary,no,4599,no,yes,cellular,27,may,151,2,-1,0,unknown,yes
21,management,married,tertiary,no,1316,no,no,cellular,29,may,100,1,312,0,unknown,no
49,blue-collar,married,tertiary,no,589,yes,no,cellular,19,apr,4,2,-1,0,success,no
44,housemaid,divorced,primary,no,1501,yes,yes,unknown,28,mar,554,5,-1,0,other,yes
47,management,married,primary,no,-2886,yes,no,telephone,25,jul,714,1,-1,0,unknown,yes
38,management,married,tertiary,no,-2473,yes,no,unknown,13,may,636,7,-1,0,unknown,yes
42,technician,married,tertiary,no,-690,yes,yes,cellular,8,may,241,1,-1,1,unknown,no
35,management,divorced,secondary,no,5063,yes,no,cellular,9,may,314,6,681,0,success,yes
55,admin.,married,primary,no,-367,no,no,cellular,14,may,201,2,511,0,unknown,yes
27,blue-collar,single,primary,no,3387,yes,no,cellular,21,mar,1003,2,-1,0,unknown,yes
26,services,married,tertiary,no,2189,no,no,cellular,4,nov,49,2,693,0,unknown,no
38,blue-collar,married,secondary,no,7036,yes,no,telephone,29,feb,46,5,-1,1,unknown,no
41,blue-collar,married,secondary,no,5707,no,no,unknown,12,jul,1235,1,-1,0,unknown,yes
63,blue-collar,married,secondary,no,-4981,yes,no,cellular,27,may,140,3,78,0,unknown,no
50,services,single,tertiary,no,1062,no,yes,cellular,25,aug,1089,5,-1,0,failure,yes
45,student,married,secondary,no,5575,yes,no,cellular,28,oct,153,3,-1,0,unknown,yes
31,blue-collar,married,primary,no,328,no,yes,cellular,19,nov,335,10,-1,0,unknown,yes
30,admin.,divorced,primary,no,-4072,yes,no,cellular,6,jul,70,2,213,0,unknown,no
30,technician,married,secondary,no,74,no,no,unknown,26,may,135,4,566,1,success,no
47,unemployed,married,unknown,no,-1200,yes,no,unknown,1,jul,254,1,136,0,unknown,yes
49,services,single,tertiary,no,97,yes,yes,unknown,18,aug,26,5,-1,1,unknown,no
48,technician,married,tertiary,no,-1025,yes,no,telephone,24,may,555,4,-1,0,unknown,yes
30,unemployed,single,primary,no,761,yes,no,cellular,15,jun,345,5,-1,0,unknown,yes
25,technician,married,secondary,no,-428,yes,no,cellular,4,apr,966,2,-1,5,unknown,yes
40,admin.,married,unknown,no,5109,yes,no,cellular,21,may,27,7,594,0,failure,no
44,management,single,tertiary,no,1557,no,no,telephone,12,may,61,2,-1,0,other,yes
42,blue-collar,married,secondary,no,7830,no,no,cellular,6,dec,33,4,479,0,unknown,no
47,management,single,secondary,no,-3190,no,no,cellular,12,jul,917,2,-1,0,failure,yes
48,blue-collar,married,tertiary,no,-2577,no,no,cellular,26,nov,120,2,807,0,unknown,no
52,self-employed,married,tertiary,no,-701,no,no,cellular,11,may,84,1,597,0,unknown,no
47,blue-collar,married,secondary,no,748,yes,yes,cellular,19,mar,128,5,-1,0,unknown,no
23,unemployed,single,secondary,no,1562,yes,yes,cellular,16,jul,7,3,91,0,unknown,no
33,admin.,single,primary,no,-6180,yes,yes,unknown,17,aug,240,1,-1,0,unknown,no
37,management,divorced,secondary,no,-1617,no,no,cellular,6,nov,267,1,-1,0,unknown,yes
58,technician,married,primary,no,2608,no,no,cellular,10,feb,458,3,-1,0,unknown,yes
33,technician,single,secondary,no,-4214,no,no,cellular,9,apr,97,4,-1,0,unknown,no
36,technician,married,secondary,no,-1655,no,no,unknown,30,may,501,2,210,0,failure,no
37,technician,single,tertiary,no,-15,no,no,cellular,13,may,292,4,-1,0,unknown,yes
47,admin.,married,secondary,no,4792,no,no,cellular,23,may,256,2,-1,0,unknown,no
36,technician,married,secondary,no,3411,yes,no,cellular,15,aug,103,6,-1,0,unknown,no
42,housemaid,divorced,secondary,no,1287,yes,no,telephone,1,nov,38,1,-1,0,unknown,no
26,admin.,married,primary,no,2769,yes,no,cellular,9,jul,65,3,-1,0,unknown,no
40,blue-collar,divorced,secondary,no,78,yes,no,cellular,26,may,85,7,488,0,unknown,yes
51,blue-collar,married,secondary,no,1369,yes,no,telephone,31,feb,87,1,-1,0,unknown,no
45,blue-collar,single,primary,no,-3577,yes,no,unknown,3,jan,228,4,-1,0,unknown,no
37,student,married,tertiary,no,-1404,yes,no,cellular,24,may,232,6,-1,1,unknown,yes
48,unemployed,married,secondary,no,7629,yes,no,cellular,31,jul,188,12,-1,0,unknown,no
48,self-employed,married,tertiary,no,1866,no,no,cellular,16,jul,308,1,-1,0,unknown,yes
44,admin.,married,secondary,no,3161,no,no,cellular,24,may,75,5,-1,0,unknown,yes
46,services,single,tertiary,no,5694,yes,no,cellular,21,nov,116,1,-1,0,unknown,yes
50,technician,married,secondary,no,4097,no,yes,cellular,26,jul,219,7,-1,0,failure,no
32,blue-collar,married,secondary,no,4327,no,yes,cellular,3,jun,141,1,-1,1,unknown,no
33,management,married,tertiary,no,1373,no,yes,unknown,20,dec,377,4,528,0,unknown,no
46,blue-collar,married,secondary,no,-4372,no,no,telephone,15,aug,153,5,-1,0,success,no
57,student,married,secondary,no,-29,no,no,cellular,24,aug,35,1,-1,0,unknown,yes
38,admin.,married,secondary,no,1556,yes,no,telephone,8,may,153,3,-1,0,unknown,no
29,blue-collar,single,tertiary,no,-3126,yes,no,unknown,23,jun,156,1,37,3,failure,no
52,blue-collar,married,tertiary,no,1813,no,no,cellular,11,sep,266,1,713,0,unknown,yes
36,management,married,secondary,no,1969,no,no,cellular,24,jul,428,1,-1,0,unknown,yes
35,unemployed,married,primary,no,225,yes,no,cellular,31,aug,187,2,-1,0,unknown,yes
18,entrepreneur,married,secondary,no,-5632,yes,yes,cellular,16,may,5,18,-1,0,unknown,no
38,retired,single,tertiary,no,3254,no,no,cellular,20,aug,145,6,275,1,unknown,yes
45,technician,married,secondary,no,6398,yes,yes,cellular,23,jul,287,1,-1,0,unknown,yes
29,management,married,secondary,no,739,yes,no,cellular,20,may,44,10,-1,1,unknown,no
48,admin.,married,secondary,no,-1707,yes,no,cellular,9,aug,399,1,-1,0,unknown,yes
29,unknown,single,primary,no,3017,yes,no,cellular,8,jul,393,1,-1,0,success,yes
33,technician,married,secondary,no,-1058,yes,no,telephone,17,may,398,3,-1,0,unknown,no
30,management,married,primary,no,-1930,yes,no,cellular,16,jul,145,1,-1,0,failure,no
30,admin.,divorced,secondary,no,2114,no,no,unknown,2,nov,113,2,-1,0,unknown,no
24,blue-collar,single,secondary,no,7736,no,no,cellular,19,jul,564,3,-1,0,failure,yes
36,blue-collar,single,tertiary,no,3838,no,no,cellular,23,aug,151,2,-1,1,unknown,no
35,technician,single,secondary,no,3721,yes,no,unknown,18,nov,355,2,-1,1,failure,yes
36,entrepreneur,married,tertiary,no,-2433,yes,no,cellular,30,sep,416,1,115,0,success,yes
41,entrepreneur,single,tertiary,no,543,no,no,cellular,7,nov,105,4,-1,0,unknown,no
22,unemployed,single,primary,no,2981,yes,no,cellular,24,may,21,1,-1,1,success,no
44,blue-collar,single,secondary,no,-2842,no,no,cellular,13,jul,399,2,579,0,success,no
45,blue-collar,married,secondary,no,-898,yes,no,cellular,14,oct,594,2,-1,0,unknown,yes
37,technician,married,secondary,no,2958,yes,no,telephone,3,may,773,2,-1,0,unknown,yes
45,blue-collar,single,secondary,no,1525,no,no,telephone,19,nov,1,1,-1,0,failure,no
38,retired,divorced,secondary,no,2425,no,no,cellular,14,jan,409,2,-1,1,unknown,yes
57,technician,single,primary,no,-170,yes,no,cellular,22,may,564,1,-1,1,unknown,yes
50,services,divorced,secondary,no,1833,yes,no,cellular,16,may,279,7,-1,0,unknown,yes
47,blue-collar,married,tertiary,no,6286,yes,yes,cellular,4,aug,94,1,-1,1,unknown,no
25,services,married,secondary,no,733,yes,no,unknown,21,may,53,1,-1,0,unknown,yes
39,technician,married,secondary,no,2249,no,no,cellular,17,aug,211,1,-1,0,unknown,no
46,housemaid,married,secondary,no,2539,no,no,cellular,6,nov,93,6,-1,0,unknown,no
49,admin.,married,secondary,no,1781,no,yes,unknown,21,may,194,2,-1,0,unknown,no
39,blue-collar,married,secondary,no,8979,yes,no,cellular,12,may,658,2,-1,0,unknown,yes
59,services,married,secondary,no,2477,yes,no,unknown,9,aug,273,5,-1,0,other,yes
44,blue-collar,married,secondary,no,2856,no,no,cellular,14,nov,251,4,-1,0,unknown,no
33,technician,married,primary,no,3770,no,no,cellular,9,oct,8,2,360,0,unknown,no
33,services,single,secondary,no,625,yes,no,cellular,12,jul,257,3,440,2,other,no
45,blue-collar,single,secondary,no,1950,yes,no,cellular,5,may,121,2,638,0,success,no
48,technician,single,primary,no,2638,no,yes,cellular,7,jul,121,2,623,1,success,no
45,technician,married,tertiary,no,-3498,yes,yes,cellular,3,nov,164,3,-1,0,failure,no
38,technician,married,secondary,no,747,no,yes,unknown,27,may,229,1,52,3,failure,no
50,management,married,tertiary,no,7279,no,no,cellular,30,sep,134,2,-1,1,unknown,no
25,services,single,primary,no,-2942,no,no,cellular,4,may,227,3,-1,0,unknown,no
34,management,married,secondary,no,4148,yes,yes,cellular,16,may,285,2,-1,0,unknown,yes
41,technician,married,tertiary,no,1478,yes,no,cellular,19,nov,86,2,148,2,unknown,no
48,technician,single,unknown,no,2525,no,no,unknown,19,nov,96,3,-1,1,unknown,no
44,management,married,tertiary,no,-3067,yes,no,cellular,13,jul,289,1,-1,0,unknown,yes
29,technician,divorced,tertiary,no,-1700,yes,no,cellular,13,jul,54,3,-1,0,unknown,no
51,blue-collar,single,tertiary,no,3193,yes,yes,unknown,8,may,22,2,-1,0,unknown,no
55,blue-collar,married,secondary,no,294,no,no,cellular,20,nov,400,10,651,2,unknown,yes
57,management,married,secondary,no,-1767,no,no,telephone,29,may,287,1,-1,0,unknown,no
43,blue-collar,divorced,tertiary,no,1882,yes,no,cellular,30,nov,539,2,-1,0,unknown,yes
61,services,single,secondary,no,5792,yes,no,cellular,28,aug,46,2,-1,0,unknown,no
46,admin.,divorced,secondary,no,4748,yes,no,cellular,6,jun,166,5,-1,0,unknown,no
43,services,divorced,primary,no,1025,yes,no,cellular,30,jul,42,7,-1,0,unknown,no
40,blue-collar,divorced,secondary,no,3469,no,no,cellular,21,may,370,9,-1,0,unknown,yes
32,unknown,married,secondary,no,4037,yes,no,telephone,15,may,269,1,501,0,unknown,yes
37,services,married,secondary,no,-1323,no,no,cellular,20,sep,127,1,-1,0,unknown,no
40,technician,single,primary,no,2987,yes,no,unknown,15,jul,207,5,-1,2,unknown,no
36,blue-collar,married,tertiary,no,4438,yes,no,cellular,8,jun,71,2,-1,0,failure,no
40,management,single,secondary,no,7003,yes,no,cellular,27,may,186,1,794,0,other,no
18,admin.,married,primary,no,1172,yes,yes,unknown,21,may,432,1,-1,1,unknown,yes
50,technician,divorced,tertiary,no,-2464,no,no,unknown,23,feb,255,1,-1,1,unknown,yes
22,blue-collar,single,tertiary,no,2395,no,yes,cellular,16,mar,386,1,-1,0,unknown,yes
41,admin.,married,tertiary,no,-1340,no,no,cellular,21,aug,113,2,-1,2,unknown,no
41,technician,married,primary,no,-2520,yes,no,cellular,20,oct,39,2,806,0,unknown,no
38,blue-collar,married,unknown,no,-1117,yes,no,cellular,12,jul,51,6,-1,0,unknown,no
33,technician,single,tertiary,no,-3398,yes,no,cellular,28,nov,81,3,-1,0,unknown,no
48,admin.,single,primary,no,-790,yes,no,unknown,21,nov,125,1,-1,0,success,no
45,technician,single,tertiary,no,7182,yes,no,cellular,31,nov,197,4,-1,0,failure,yes
47,technician,married,secondary,no,-756,no,yes,unknown,6,dec,43,1,-1,0,unknown,yes
33,services,single,tertiary,no,668,no,yes,cellular,14,aug,237,2,-1,2,unknown,yes
50,blue-collar,married,secondary,no,4457,no,no,cellular,27,nov,156,4,-1,0,unknown,no
29,blue-collar,married,tertiary,no,8696,no,yes,telephone,7,may,235,2,-1,0,unknown,yes
42,blue-collar,married,primary,no,4259,no,yes,cellular,22,may,820,3,-1,0,unknown,yes
28,blue-collar,single,tertiary,no,2850,yes,no,unknown,25,jun,501,2,-1,0,unknown,yes
47,management,married,secondary,no,-898,yes,yes,unknown,1,dec,666,2,-1,0,unknown,yes
30,self-employed,married,secondary,no,-219,yes,no,unknown,10,jul,98,4,-1,0,unknown,no
50,admin.,married,tertiary,no,-3640,no,no,cellular,16,jul,494,7,-1,0,unknown,yes
22,management,married,primary,no,-681,no,no,cellular,5,nov,210,3,-1,0,unknown,no
26,blue-collar,married,secondary,no,4544,no,no,telephone,10,aug,349,1,-1,0,unknown,yes
37,unknown,single,secondary,no,151,yes,no,cellular,22,aug,78,11,-1,0,unknown,no
41,services,married,primary,no,762,yes,no,telephone,4,jun,382,3,-1,0,unknown,yes
53,technician,divorced,secondary,no,-616,no,no,cellular,16,oct,605,2,-1,0,unknown,yes
41,technician,married,tertiary,no,1203,yes,yes,cellular,10,jul,489,6,215,1,failure,yes
46,self-employed,married,secondary,no,-1651,no,no,cellular,31,feb,1067,7,-1,0,unknown,yes
29,blue-collar,married,secondary,no,803,no,no,cellular,7,may,103,1,-1,0,unknown,no
36,technician,married,tertiary,no,206,yes,no,unknown,25,may,254,3,-1,0,unknown,yes
30,technician,single,secondary,no,-1446,yes,no,unknown,14,aug,139,1,-1,1,unknown,no
37,technician,single,secondary,no,-2972,no,no,cellular,27,may,224,5,-1,1,failure,yes
40,technician,married,secondary,no,748,no,no,unknown,19,may,85,5,-1,0,unknown,no
32,management,married,tertiary,no,554,no,yes,cellular,18,may,202,4,-1,0,unknown,yes
44,retired,married,secondary,no,-5203,no,no,cellular,15,dec,228,9,-1,0,unknown,yes
46,blue-collar,married,primary,yes,2323,yes,no,telephone,14,may,305,2,377,0,unknown,yes
20,technician,single,primary,no,8824,no,yes,cellular,31,may,41,1,-1,0,unknown,yes
26,management,single,secondary,no,472,yes,yes,unknown,13,may,168,5,-1,0,unknown,yes
31,services,married,tertiary,no,1397,yes,no,unknown,9,nov,101,3,-1,0,unknown,no
33,housemaid,married,primary,no,1902,yes,no,cellular,2,jul,28,1,-1,0,unknown,no
39,admin.,single,secondary,no,4165,yes,no,cellular,26,may,372,6,-1,1,other,yes
40,blue-collar,married,secondary,no,5989,no,no,unknown,30,apr,138,2,-1,0,unknown,no
